tanggal,PM2.5,PM10,SO2,NO2,CO,O3
01/03/2013,3,6,13,7,300,85
01/03/2013,3,3,6,6,300,85
01/03/2013,3,3,22,13,400,74
01/03/2013,3,6,12,8,300,81
01/03/2013,3,3,14,8,300,81
01/03/2013,3,3,10,17,400,71
01/03/2013,4,6,12,22,500,65
01/03/2013,3,6,25,39,600,48
01/03/2013,9,25,13,42,700,46
01/03/2013,11,29,5,18,500,73
01/03/2013,9,10,3,10,300,83
01/03/2013,3,3,4,9,300,81
01/03/2013,3,6,4,8,300,90
01/03/2013,3,101,5,9,300,89
01/03/2013,9,60,5,6,300,94
01/03/2013,3,34,6,7,300,94
01/03/2013,3,28,5,9,300,92
01/03/2013,6,25,19,12,300,88
01/03/2013,4,17,40,22,600,77
01/03/2013,7,19,37,22,600,75
01/03/2013,8,21,23,14,300,80
01/03/2013,7,16,34,19,300,74
01/03/2013,5,13,25,16,300,76
01/03/2013,7,12,42,25,500,65
02/03/2013,11,13,23,16,400,69
02/03/2013,12,10,24,18,400,67
02/03/2013,13,9,23.5,56,800,33
02/03/2013,14,24,23,42,600,39
02/03/2013,14,18,24,49.5,400,45
02/03/2013,13,13,37,57,600,28
02/03/2013,16,15,38,66,900,16
02/03/2013,19,25,39,63,900,18
02/03/2013,22,26,41,66,1100,14
02/03/2013,29,43,42,69,1600,13
02/03/2013,46,70,40,54,900,29
02/03/2013,30,33,40,61,800,28
02/03/2013,31,41,42,51,700,38
02/03/2013,30,34,42,50,700,42
02/03/2013,30,32,42,59,900,36
02/03/2013,38,41,42,58,900,38
02/03/2013,42,49,42,62,900,35
02/03/2013,44,50,42,66,900,31
02/03/2013,44,55,42,73,900,23
02/03/2013,47,60,34,76,1000,18
02/03/2013,52,65,42,84,1300,12
02/03/2013,69,76,42,82,1700,9
02/03/2013,72,83,42,82,1600,8
02/03/2013,62,71,42,87,2000,9
03/03/2013,73,87,41,76,1500,7
03/03/2013,50,60,36,73,1399,7
03/03/2013,60,62,37,75,1500,7
03/03/2013,60,63,41,74,1600,7
03/03/2013,64,66,31,69,1200,6
03/03/2013,56,58,34,71,1300,6
03/03/2013,53,59,24,68,1399,6
03/03/2013,52,62,25,68,1700,6
03/03/2013,58,75,42,71,2399,12
03/03/2013,81,106,42,72,2000,15
03/03/2013,84,101,42,84,2200,17
03/03/2013,106,148,42,93,1899,20
03/03/2013,110,135,42,89,1800,24
03/03/2013,113,151,42,80,1500,30
03/03/2013,100,151,36,53,1000,52
03/03/2013,68,128,14,20,400,78
03/03/2013,32,90,10,16,400,82
03/03/2013,21,71,27,21,400,76
03/03/2013,16,33,17,22,400,72
03/03/2013,18,43,12,35,600,59
03/03/2013,24,56,27,46,800,45
03/03/2013,29,55,27,42,700,47
03/03/2013,23,46,25,69,1300,19
03/03/2013,30,78,14,24,700,52
04/03/2013,25,42,30,22,400,57
04/03/2013,16,38,24,13,300,72
04/03/2013,8,31,29,14,300,74
04/03/2013,6,20,4,10,400,76
04/03/2013,7,13,3,10,300,80
04/03/2013,3,14,31,46,600,38
04/03/2013,10,24,42,43,500,39
04/03/2013,12,28,38,38,700,42
04/03/2013,12,32,29,34,700,48
04/03/2013,16,29,21,19,500,65
04/03/2013,14,23,16,12,400,76
04/03/2013,7,16,7,11,400,80
04/03/2013,8,22,6,9,400,85
04/03/2013,14,16,7,9,400,89
04/03/2013,11,13,14,11,400,91
04/03/2013,21,24,11,10,400,95
04/03/2013,10,17,10,12,400,92
04/03/2013,13,15,8,21,400,86
04/03/2013,17,29,14,40,500,81
04/03/2013,32,54,39,63,700,57
04/03/2013,43,71,42,91,1100,25
04/03/2013,64,99,41,88,1500,18
04/03/2013,76,123,25,57,1100,34
04/03/2013,54,75,21,43,1200,95
05/03/2013,57,69,20,37,900,95
05/03/2013,48,57,38,66,1600,95
05/03/2013,65,99,32,54,1399,95
